~iteration~,embedding_size,memory_size,queue_idx
471,128,4096,2048
472,128,4096,2304
473,128,4096,2560
474,128,4096,2816
475,128,4096,3072
476,128,4096,3328
477,128,4096,3584
478,128,4096,3840
479,128,4096,0
480,128,4096,256
481,128,4096,512
482,128,4096,768
483,128,4096,1024
484,128,4096,1280
485,128,4096,1536
486,128,4096,1792
487,128,4096,2048
488,128,4096,2304
489,128,4096,2560
490,128,4096,2816
491,128,4096,3072
492,128,4096,3328
493,128,4096,3584
494,128,4096,3840
495,128,4096,0
496,128,4096,256
497,128,4096,512
498,128,4096,768
499,128,4096,1024
500,128,4096,1280
501,128,4096,1536
502,128,4096,1792
503,128,4096,2048
504,128,4096,2304
505,128,4096,2560
506,128,4096,2816
507,128,4096,3072
508,128,4096,3328
509,128,4096,3584
510,128,4096,3840
511,128,4096,0
512,128,4096,256
513,128,4096,512
514,128,4096,768
515,128,4096,1024
516,128,4096,1280
517,128,4096,1536
518,128,4096,1792
519,128,4096,2048
520,128,4096,2304
521,128,4096,2560
522,128,4096,2816
523,128,4096,3072
524,128,4096,3328
525,128,4096,3584
526,128,4096,3840
527,128,4096,0
528,128,4096,256
529,128,4096,512
530,128,4096,768
531,128,4096,1024
532,128,4096,1280
533,128,4096,1536
534,128,4096,1792
535,128,4096,2048
536,128,4096,2304
537,128,4096,2560
538,128,4096,2816
539,128,4096,3072
540,128,4096,3328
541,128,4096,3584
542,128,4096,3840
543,128,4096,0
544,128,4096,256
545,128,4096,512
546,128,4096,768
547,128,4096,1024
548,128,4096,1280
549,128,4096,1536
550,128,4096,1792
551,128,4096,2048
552,128,4096,2304
553,128,4096,2560
554,128,4096,2816
555,128,4096,3072
556,128,4096,3328
557,128,4096,3584
558,128,4096,3840
559,128,4096,0
560,128,4096,256
561,128,4096,512
562,128,4096,768
563,128,4096,1024
564,128,4096,1280
565,128,4096,1536
566,128,4096,1792
567,128,4096,2048
568,128,4096,2304
569,128,4096,2560
570,128,4096,2816
571,128,4096,3072
572,128,4096,3328
573,128,4096,3584
574,128,4096,3840
575,128,4096,0
576,128,4096,256
577,128,4096,512
578,128,4096,768
579,128,4096,1024
580,128,4096,1280
581,128,4096,1536
582,128,4096,1792
583,128,4096,2048
584,128,4096,2304
585,128,4096,2560
586,128,4096,2816
587,128,4096,3072
588,128,4096,3328
589,128,4096,3584
590,128,4096,3840
591,128,4096,0
592,128,4096,256
593,128,4096,512
594,128,4096,768
595,128,4096,1024
596,128,4096,1280
597,128,4096,1536
598,128,4096,1792
599,128,4096,2048
600,128,4096,2304
601,128,4096,2560
602,128,4096,2816
603,128,4096,3072
604,128,4096,3328
605,128,4096,3584
606,128,4096,3840
607,128,4096,0
608,128,4096,256
609,128,4096,512
610,128,4096,768
611,128,4096,1024
612,128,4096,1280
613,128,4096,1536
614,128,4096,1792
615,128,4096,2048
616,128,4096,2304
617,128,4096,2560
618,128,4096,2816
619,128,4096,3072
620,128,4096,3328
621,128,4096,3584
622,128,4096,3840
623,128,4096,0
624,128,4096,256
625,128,4096,512
626,128,4096,768
627,128,4096,1024
628,128,4096,1280
629,128,4096,1536
630,128,4096,1792
631,128,4096,2048
632,128,4096,2304
633,128,4096,2560
634,128,4096,2816
635,128,4096,3072
636,128,4096,3328
637,128,4096,3584
638,128,4096,3840
639,128,4096,0
640,128,4096,256
641,128,4096,512
642,128,4096,768
643,128,4096,1024
644,128,4096,1280
645,128,4096,1536
646,128,4096,1792
647,128,4096,2048
648,128,4096,2304
649,128,4096,2560
650,128,4096,2816
651,128,4096,3072
652,128,4096,3328
653,128,4096,3584
654,128,4096,3840
655,128,4096,0
656,128,4096,256
657,128,4096,512
658,128,4096,768
659,128,4096,1024
660,128,4096,1280
661,128,4096,1536
662,128,4096,1792
663,128,4096,2048
664,128,4096,2304
665,128,4096,2560
666,128,4096,2816
667,128,4096,3072
668,128,4096,3328
669,128,4096,3584
670,128,4096,3840
671,128,4096,0
672,128,4096,256
673,128,4096,512
674,128,4096,768
675,128,4096,1024
676,128,4096,1280
677,128,4096,1536
678,128,4096,1792
679,128,4096,2048
680,128,4096,2304
681,128,4096,2560
682,128,4096,2816
683,128,4096,3072
684,128,4096,3328
685,128,4096,3584
686,128,4096,3840
687,128,4096,0
688,128,4096,256
689,128,4096,512
690,128,4096,768
691,128,4096,1024
692,128,4096,1280
693,128,4096,1536
694,128,4096,1792
695,128,4096,2048
696,128,4096,2304
697,128,4096,2560
698,128,4096,2816
699,128,4096,3072
700,128,4096,3328
701,128,4096,3584
702,128,4096,3840
703,128,4096,0
704,128,4096,256
705,128,4096,512
706,128,4096,768
707,128,4096,1024
708,128,4096,1280
709,128,4096,1536
710,128,4096,1792
711,128,4096,2048
712,128,4096,2304
713,128,4096,2560
714,128,4096,2816
715,128,4096,3072
716,128,4096,3328
717,128,4096,3584
718,128,4096,3840
719,128,4096,0
720,128,4096,256
721,128,4096,512
722,128,4096,768
723,128,4096,1024
724,128,4096,1280
725,128,4096,1536
726,128,4096,1792
727,128,4096,2048
728,128,4096,2304
729,128,4096,2560
730,128,4096,2816
731,128,4096,3072
732,128,4096,3328
733,128,4096,3584
734,128,4096,3840
735,128,4096,0
736,128,4096,256
737,128,4096,512
738,128,4096,768
739,128,4096,1024
740,128,4096,1280
741,128,4096,1536
742,128,4096,1792
743,128,4096,2048
744,128,4096,2304
745,128,4096,2560
746,128,4096,2816
747,128,4096,3072
748,128,4096,3328
749,128,4096,3584
750,128,4096,3840
751,128,4096,0
752,128,4096,256
753,128,4096,512
754,128,4096,768
755,128,4096,1024
756,128,4096,1280
757,128,4096,1536
758,128,4096,1792
759,128,4096,2048
760,128,4096,2304
761,128,4096,2560
762,128,4096,2816
763,128,4096,3072
764,128,4096,3328
765,128,4096,3584
766,128,4096,3840
767,128,4096,0
768,128,4096,256
769,128,4096,512
770,128,4096,768
771,128,4096,1024
772,128,4096,1280
773,128,4096,1536
774,128,4096,1792
775,128,4096,2048
776,128,4096,2304
777,128,4096,2560
778,128,4096,2816
779,128,4096,3072
780,128,4096,3328
781,128,4096,3584
782,128,4096,3840
783,128,4096,0
784,128,4096,256
785,128,4096,512
786,128,4096,768
787,128,4096,1024
788,128,4096,1280
789,128,4096,1536
790,128,4096,1792
